iter,n_files,rmse_m,rmse_q,mae_m,mae_q,iter_runtime_sec,cumulative_runtime_sec
1,10,0.28685683012008667,128.2122344970703,0.26801615953445435,120.48121643066406,17.368662608030718,17.368663837958593
2,20,0.44242581725120544,212.826171875,0.39942020177841187,192.7224884033203,33.87516242201673,51.24382905999664
3,30,0.34872645139694214,157.99855041503906,0.3234923779964447,147.58741760253906,51.34114519803552,102.58497637795517
4,40,0.34591400623321533,156.71559143066406,0.3202950060367584,148.70265197753906,62.16883231000975,164.75381117797224
5,50,0.04909445717930794,19.75081443786621,0.023458870127797127,9.349775314331055,73.34798165800748,238.10179574595531
6,60,0.04117083549499512,15.655261993408203,0.021913576871156693,8.247730255126953,86.07113809499424,324.1729364109924
7,70,0.04534713551402092,18.425756454467773,0.027274636551737785,11.923526763916016,110.91975634801202,435.0926957089687
8,80,0.04948468506336212,20.315000534057617,0.028619149699807167,13.072670936584473,129.33422035700642,564.4269187259488
9,90,0.045084673911333084,17.639135360717773,0.025737229734659195,10.08419132232666,133.56750137597555,697.9944225819781
10,100,0.04663609340786934,17.70258903503418,0.027166802436113358,9.96349048614502,157.50514976104023,855.4995748229558
11,110,0.04720889776945114,18.615022659301758,0.02442476712167263,10.270249366760254,179.16160635603592,1034.6611839499674
12,120,0.04054894298315048,16.137100219726562,0.024509165436029434,10.822894096374512,198.50868390500546,1233.16987053497
13,130,0.04668906331062317,17.749807357788086,0.025228532031178474,10.69016170501709,215.93042852100916,1449.1003021560027
14,140,0.045283567160367966,17.12439727783203,0.02402898669242859,9.8954439163208,233.81623230001424,1682.9165371459676
15,150,0.045194365084171295,18.714282989501953,0.02728579193353653,11.815406799316406,256.25186386698624,1939.1684035029612
16,160,0.04945998266339302,21.955991744995117,0.026194864884018898,12.295775413513184,272.087659272016,2211.256065184949
17,170,0.06725487112998962,30.183273315429688,0.038667187094688416,20.252452850341797,287.6554068950354,2498.9114745699917
18,180,0.053391989320516586,20.182659149169922,0.026110045611858368,10.096756935119629,297.66497715900186,2796.576454988972
19,190,0.048200514167547226,19.857707977294922,0.02524709701538086,10.741573333740234,317.0098869089852,3113.586344768002
20,200,0.04468204453587532,18.780397415161133,0.026619993150234222,11.898055076599121,331.3259359690128,3444.9122832769644
21,210,0.04277097061276436,16.73459243774414,0.025452693924307823,10.018898963928223,349.6471321359859,3794.5594180329936
22,220,0.05579207092523575,25.09964370727539,0.031850479543209076,16.42037010192871,368.88493691699114,4163.444357640983
23,230,0.04386543482542038,17.823854446411133,0.02300473302602768,9.372270584106445,393.0584590769722,4556.502819217974
24,240,0.04833133518695831,18.876712799072266,0.025332361459732056,10.567703247070312,391.86908468196634,4948.371906489949
25,250,0.045849356800317764,18.847179412841797,0.02778642624616623,11.771842956542969,404.07525221799733,5352.447161117976
26,260,0.04133763909339905,16.022104263305664,0.02235666662454605,9.11255168914795,433.7306471240008,5786.177810881985
27,270,0.052985407412052155,24.111268997192383,0.031614188104867935,14.666337013244629,448.83089818101143,6235.008711962961
28,280,0.048106931149959564,21.153379440307617,0.027922166511416435,13.205770492553711,466.31011186598334,6701.318826818955
29,290,0.040418852120637894,15.485445022583008,0.021925292909145355,8.27265453338623,493.34618465800304,7194.665014436992
30,300,0.05058537796139717,20.506866455078125,0.026890505105257034,11.16994857788086,504.98520576703595,7699.650227184
31,310,0.05103196203708649,21.901472091674805,0.031414736062288284,15.000462532043457,529.3425283340039,8228.992758027976
32,320,0.038146935403347015,15.240201950073242,0.021608244627714157,9.51287841796875,542.212172821979,8771.204933309986
33,330,0.0517154261469841,22.990476608276367,0.029743049293756485,13.892388343811035,544.6244800909772,9315.829415821994
34,340,0.04516449570655823,18.890689849853516,0.02645919844508171,11.269028663635254,566.9938741780352,9882.823292539979
35,350,0.044361647218465805,19.135560989379883,0.028226325288414955,13.340285301208496,560.8690365060465,10443.692331425962
36,360,0.04953078553080559,20.55439567565918,0.026291782036423683,11.54040813446045,567.0552821930032,11010.747615958971
37,370,0.09219805151224136,42.27869415283203,0.04391784593462944,21.04999351501465,577.586052220955,11588.333670359978
