iter,n_files,rmse_m,rmse_q,mae_m,mae_q,r2_m,r2_q,iter_runtime_sec,cumulative_runtime_sec
1,10,0.058847397565841675,6.698354721069336,0.05375240743160248,5.453556537628174,0.9577586054801941,0.99737548828125,18.92179253397626,18.921793843997875
2,20,0.0654364749789238,12.338418960571289,0.05905650183558464,10.252764701843262,0.9477695822715759,0.9910950660705566,32.80551078400458,74.25390248699114
3,30,0.09384628385305405,11.092794418334961,0.08101142942905426,8.4503812789917,0.8925718665122986,0.9928023219108582,48.18047187101911,143.11491612999816
4,40,0.039958447217941284,5.799428939819336,0.030084427446126938,5.476508140563965,0.980523943901062,0.9980326294898987,66.78810510400217,229.67707413900644
5,50,0.04286510869860649,6.97666597366333,0.033430591225624084,6.615635871887207,0.9775874018669128,0.9971528649330139,81.37240754699451,330.06750379499863
6,60,0.0413079634308815,4.548487663269043,0.03532562777400017,3.9955027103424072,0.9791861772537231,0.9987898468971252,98.30588477101992,446.7014408830146
7,70,0.03904600813984871,3.780205011367798,0.031134063377976418,3.0690619945526123,0.9814032316207886,0.9991641044616699,114.69037134197424,579.3663366489927
8,80,0.043012723326683044,5.349823474884033,0.032998453825712204,4.987239360809326,0.9774327874183655,0.9983258843421936,131.86131935101002,728.9189209759934
9,90,0.0416213758289814,4.547274589538574,0.0320063978433609,3.979154348373413,0.9788691401481628,0.9987905025482178,147.70070923201274,893.4240746730065
10,100,0.037415869534015656,3.8867852687835693,0.030273832380771637,3.4157650470733643,0.9829236268997192,0.9991163015365601,163.40533334799693,1072.9967028099927
11,110,0.03801387920975685,3.665860176086426,0.028415679931640625,3.310084104537964,0.9823734164237976,0.9992139339447021,179.2259337870055,1267.783445693989
12,120,0.03524838760495186,3.873664617538452,0.027195075526833534,3.53574800491333,0.9848448038101196,0.9991222620010376,196.41605069499929,1479.219800183986
13,130,0.036043599247932434,3.189592123031616,0.02691461704671383,2.799025297164917,0.9841532707214355,0.9994049072265625,216.21601072099293,1709.726887716999
14,140,0.032758235931396484,4.706982612609863,0.024683650583028793,4.285055160522461,0.9869104623794556,0.9987040162086487,229.03230693901423,1952.9911361490085
15,150,0.03680674359202385,4.1017889976501465,0.02820717915892601,3.6008501052856445,0.9834750890731812,0.9990158677101135,242.23512424100772,2208.7390474920103
16,160,0.03487243130803108,2.6459858417510986,0.024893416091799736,2.115164041519165,0.9851663112640381,0.9995904564857483,262.6579277300043,2484.6135908720025
17,170,0.03653174266219139,2.6563453674316406,0.028320826590061188,2.274801254272461,0.983721137046814,0.9995872378349304,279.5603370660101,2776.636363319005
18,180,0.03426395356655121,2.5600390434265137,0.026142364367842674,2.067901849746704,0.9856795072555542,0.9996166229248047,294.99200947801,3083.4935685129894
19,190,0.03331029415130615,3.0136806964874268,0.02491680160164833,2.4285366535186768,0.986465573310852,0.9994687438011169,313.8265697770112,3407.564370404987
20,200,0.03188858553767204,3.9864437580108643,0.023833701387047768,3.6668717861175537,0.9875962138175964,0.999070405960083,329.66894333600067,3746.491446386004
21,210,0.030887121334671974,3.350507974624634,0.02262774482369423,2.8701913356781006,0.9883630871772766,0.9993433356285095,347.9065798429947,4101.854214293009
22,220,0.03284797444939613,3.1903505325317383,0.024664169177412987,2.672193765640259,0.9868386387825012,0.9994046092033386,354.6572272689955,4464.527966641996
23,230,0.027351444587111473,4.066157817840576,0.02026430144906044,3.3650808334350586,0.9908747673034668,0.9990328550338745,376.82271237598616,4850.605198623991
24,240,0.0319998599588871,2.8087756633758545,0.024743488058447838,2.1861319541931152,0.9875094890594482,0.9995385408401489,395.0085035820084,5254.1223041090125
25,250,0.03974617272615433,2.7144954204559326,0.030599169433116913,2.0547966957092285,0.9807302951812744,0.9995689988136292,406.16294489899883,5668.0872935900115
26,260,0.0333581268787384,3.3954741954803467,0.024390628561377525,2.6728475093841553,0.9864266514778137,0.9993256330490112,420.96106826598407,6096.40718980899
27,270,0.031145397573709488,3.592683792114258,0.023704903200268745,2.9633026123046875,0.9881676435470581,0.9992449879646301,443.626989663986,6546.673249955988
28,280,0.03487545996904373,3.8357126712799072,0.026666896417737007,3.1645586490631104,0.9851637482643127,0.9991393685340881,457.1523485740181,7009.986360910989
29,290,0.036226049065589905,2.7596213817596436,0.026527242735028267,2.332592725753784,0.9839923977851868,0.9995545148849487,473.61433408700395,7488.978192929993
30,300,0.0310664065182209,2.8907723426818848,0.023231808096170425,2.342214345932007,0.9882276058197021,0.999511182308197,479.832570855011,7973.710945906991
31,310,0.03435176983475685,4.130568027496338,0.025844154879450798,3.584787130355835,0.9856059551239014,0.9990019798278809,502.01638344398816,8479.913799334987
32,320,0.03382809832692146,3.4768519401550293,0.02483399398624897,2.699723482131958,0.9860414862632751,0.9992929100990295,520.2008664430177,9003.758042973
33,330,0.03260485827922821,2.6330814361572266,0.025058280676603317,2.0685925483703613,0.9870327115058899,0.9995944499969482,536.6226877829758,9543.506113550015
34,340,0.033598192036151886,3.4275519847869873,0.02356581576168537,2.8574061393737793,0.9862306118011475,0.9993128180503845,553.424854072975,10099.47746865201
35,350,0.03545978665351868,4.069396018981934,0.025974521413445473,3.6559715270996094,0.9846624732017517,0.9990313649177551,571.85693876,10673.260206743988
36,360,0.03598186373710632,2.125983476638794,0.027224579825997353,1.5588946342468262,0.9842075109481812,0.9997355937957764,571.3327552340052,11245.989405085013
37,370,0.03286115452647209,2.511991262435913,0.024272901937365532,1.917163610458374,0.986828088760376,0.999630868434906,587.584328530007,11834.400815085013
38,374,0.032547663897275925,3.2593884468078613,0.022920941933989525,2.4893836975097656,0.9870781898498535,0.9993785619735718,498.9574432160007,12333.595376815007
