time_sec,opening_PV006,mflow_pump_out,T_pump_in,T_heater_out,T_chiller_after,mflow_GHX_bypass,qghx_kW
0.0,1.0,0.6351305246353149,399.9596862792969,516.75439453125,522.6776123046875,0.26147282123565674,114.534703125
1.0,1.0,0.6355005860386882,398.6686156988144,516.7320495601743,522.643438719213,0.2581710636150092,117.90787353515626
2.0,1.0,0.6358706474420615,397.3775451183319,516.7097045890987,522.6092651337385,0.25486930599436164,121.2810439453125
3.0,1.0,0.6362407088454347,396.0864745378494,516.687359618023,522.575091548264,0.2515675483737141,124.65421435546875
4.0,1.0,0.636610770248808,394.79540395736694,516.6650146469474,522.5409179627895,0.24826579075306654,128.027384765625
5.0,1.0,0.6369808316521812,393.50433337688446,516.6426696758717,522.506744377315,0.244964033132419,131.40055517578125
6.0,1.0,0.6373508930555545,392.213262796402,516.6203247047961,522.4725707918406,0.24166227551177144,134.7737255859375
7.0,1.0,0.6377209544589277,390.9221922159195,516.5979797337204,522.4383972063661,0.2383605178911239,138.14689599609375
8.0,1.0,0.638091015862301,389.631121635437,516.5756347626448,522.4042236208916,0.23505876027047634,141.52006640625
9.0,1.0,0.6384610772656742,388.34005105495453,516.5532897915691,522.3700500354171,0.2317570026498288,144.89323681640624
10.0,1.0,0.6388311386690475,387.04898047447205,516.5309448204935,522.3358764499426,0.22845524502918124,148.2664072265625
11.0,1.0,0.6392005264642648,385.92968142032623,516.5303405761952,522.3023986816406,0.22549877455458045,151.37240478515625
12.0,1.0,0.6395699143176898,384.81038212776184,516.5297363281716,522.2689208984375,0.22254230361431837,154.4784033203125
13.0,1.0,0.6399393021711148,383.69108283519745,516.529132080148,522.2354431152344,0.2195858326740563,157.58440185546874
14.0,1.0,0.6403086900245398,382.57178354263306,516.5285278321244,522.2019653320312,0.2166293617337942,160.690400390625
15.0,1.0,0.6406780778779648,381.45248425006866,516.5279235841008,522.1684875488281,0.21367289079353213,163.79639892578126
16.0,1.0,0.6410474657313898,380.3331849575043,516.5273193360772,522.135009765625,0.21071641985327005,166.9023974609375
17.0,1.0,0.6414168535848148,379.2138856649399,516.5267150880536,522.1015319824219,0.20775994891300797,170.00839599609375
18.0,1.0,0.6417862414382398,378.0945863723755,516.52611084003,522.0680541992188,0.2048034779727459,173.11439453125
19.0,1.0,0.6421556292916648,376.9752870798111,516.5255065920064,522.0345764160156,0.20184700703248382,176.22039306640625
20.0,1.0,0.6425250171450898,375.8559877872467,516.5249023439828,522.0010986328125,0.19889053609222174,179.3263916015625
21.0,1.0,0.6428640902158804,374.98671567440033,516.6049743667245,521.9702880866826,0.19625792209990323,181.89621411132813
22.0,1.0,0.6432031631702557,374.11744379997253,516.685046389699,521.9394775405526,0.19362530717626214,184.46603759765625
23.0,1.0,0.643542236124631,373.24817192554474,516.7651184126735,521.9086669944227,0.19099269225262105,187.03586108398437
24.0,1.0,0.6438813090790063,372.37890005111694,516.845190435648,521.8778564482927,0.18836007732897997,189.6056845703125
25.0,1.0,0.6442203820333816,371.50962817668915,516.9252624586225,521.8470459021628,0.18572746240533888,192.17550805664064
26.0,1.0,0.6445594549877569,370.64035630226135,517.005334481597,521.8162353560328,0.1830948474816978,194.74533154296876
27.0,1.0,0.6448985279421322,369.77108442783356,517.0854065045714,521.7854248099029,0.1804622325580567,197.31515502929688
28.0,1.0,0.6452376008965075,368.90181255340576,517.1654785275459,521.754614263773,0.17782961763441563,199.884978515625
29.0,1.0,0.6455766738508828,368.03254067897797,517.2455505505204,521.723803717643,0.17519700271077454,202.4548020019531
30.0,1.0,0.6459157468052581,367.16326880455017,517.3256225734949,521.6929931715131,0.17256438778713346,205.02462548828126
31.0,1.0,0.6462149785656948,366.48754423856735,517.4522571116686,521.6661091316491,0.17012487654574215,207.1628603515625
32.0,1.0,0.6465142104425468,365.81181943416595,517.5788916647434,521.6392250992358,0.16768536577001214,209.301095703125
33.0,1.0,0.646806451566647,365.16174027125817,517.6760123579079,521.6129139406257,0.16526769823894938,211.38083783602715
34.0,1.0,0.6470625595412116,364.6442148963688,517.6205855777735,521.5895637912326,0.16296293028199216,213.15824713778497
35.0,1.0,0.6473186675157763,364.1266895214794,517.565158797639,521.5662136418396,0.16065816232503494,214.93565643954278
36.0,1.0,0.6475747754903409,363.60916414659005,517.5097320175046,521.5428634924465,0.15835339436807772,216.7130657413006
37.0,1.0,0.6478308834649056,363.0916387717007,517.4543052373701,521.5195133430534,0.1560486264111205,218.49047504305838
38.0,1.0,0.6480869914394702,362.5741133968113,517.3988784572357,521.4961631936603,0.15374385845416327,220.2678843448162
39.0,1.0,0.6483430994140349,362.0565880219219,517.3434516771013,521.4728130442672,0.15143909049720605,222.045293646574
40.0,1.0,0.6485992073885996,361.53906264703255,517.2880248969668,521.4494628948742,0.14913432254024883,223.82270294833182
41.0,1.0,0.6487753748951945,361.26442566514015,516.9093383848667,521.4209533687681,0.14701382513158023,225.0228828125
42.0,1.0,0.6489515423891135,360.9897888302803,516.5306518673897,521.3924438469112,0.14489332726225257,226.2230625
43.0,1.0,0.6491277098830324,360.71515199542046,516.1519653499126,521.3639343250543,0.1427728293929249,227.4232421875
44.0,1.0,0.6493038773769513,360.4405151605606,515.7732788324356,521.3354248031974,0.14065233152359724,228.623421875
45.0,1.0,0.6494800448708702,360.16587832570076,515.3945923149586,521.3069152813405,0.13853183365426958,229.8236015625
46.0,1.0,0.6496562123647891,359.8912414908409,515.0159057974815,521.2784057594836,0.1364113357849419,231.02378125
47.0,1.0,0.649832379858708,359.61660465598106,514.6372192800045,521.2498962376267,0.13429083791561425,232.2239609375
48.0,1.0,0.6500085473526269,359.3419678211212,514.2585327625275,521.2213867157698,0.13217034004628658,233.424140625
49.0,1.0,0.6501847148465458,359.06733098626137,513.8798462450504,521.1928771939129,0.13004984217695892,234.6243203125
50.0,1.0,0.6503608823404647,358.7926941514015,513.5011597275734,521.164367672056,0.12792934430763125,235.8245
