iter,selected_count,added_indices,avg_rmse_m,avg_mae_m,avg_rmse_q,avg_mae_q,mean_rmse_m,mean_mae_m,mean_rmse_q,mean_mae_q,CI_m,CI_q,elapsed_s,exp_included_iter
1,10,"[152, 44, 9, 313, 162, 224, 201, 280, 189, 69]",0.31542002898005905,0.23062307736086055,66.32066045247967,63.11227972848443,0.31542002898005905,0.23062307736086055,66.32066045247967,63.11227972848443,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",11.325072119012475,
1,10,"[152, 44, 9, 313, 162, 224, 201, 280, 189, 69]",0.31542002898005905,0.23062307736086055,66.32066045247967,63.11227972848443,0.31542002898005905,0.23062307736086055,66.32066045247967,63.11227972848443,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",11.325072119012475,
2,20,"[104, 142, 243, 7, 119, 337, 248, 14, 58, 47]",0.3016271973417471,0.25963471244391756,93.17167076533791,82.30916668459292,0.3016271973417471,0.25963471244391756,93.17167076533791,82.30916668459292,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",25.57768816500902,
2,20,"[104, 142, 243, 7, 119, 337, 248, 14, 58, 47]",0.3016271973417471,0.25963471244391756,93.17167076533791,82.30916668459292,0.3016271973417471,0.25963471244391756,93.17167076533791,82.30916668459292,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",25.57768816500902,
3,30,"[282, 238, 13, 289, 351, 244, 204, 33, 116, 22]",0.3560316104219465,0.26457954526053235,112.3106506847099,98.82106381864733,0.3560316104219465,0.26457954526053235,112.3106506847099,98.82106381864733,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",40.79563682305161,
3,30,"[282, 238, 13, 289, 351, 244, 204, 33, 116, 22]",0.3560316104219465,0.26457954526053235,112.3106506847099,98.82106381864733,0.3560316104219465,0.26457954526053235,112.3106506847099,98.82106381864733,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",40.79563682305161,
4,40,"[340, 214, 101, 357, 126, 211, 327, 330, 165, 181]",0.41690722951494424,0.31929204070388395,151.93628489941935,125.60696249254269,0.41690722951494424,0.31929204070388395,151.93628489941935,125.60696249254269,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",55.338150575058535,
4,40,"[340, 214, 101, 357, 126, 211, 327, 330, 165, 181]",0.41690722951494424,0.31929204070388395,151.93628489941935,125.60696249254269,0.41690722951494424,0.31929204070388395,151.93628489941935,125.60696249254269,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",55.338150575058535,
5,50,"[341, 53, 283, 105, 288, 350, 267, 96, 108, 106]",0.36182630026135704,0.2757865907758071,141.05340976844462,114.08227315430057,0.36182630026135704,0.2757865907758071,141.05340976844462,114.08227315430057,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",70.99939246999566,
5,50,"[341, 53, 283, 105, 288, 350, 267, 96, 108, 106]",0.36182630026135704,0.2757865907758071,141.05340976844462,114.08227315430057,0.36182630026135704,0.2757865907758071,141.05340976844462,114.08227315430057,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",70.99939246999566,
