time_sec,opening_PV006,mflow_pump_out,T_pump_in,T_heater_out,mflow_GHX_bypass,qghx_kW
79,0,0.706979265,409.7176735,536.8317706,0.749981333,-11.28051634
80,0,0.705075348,409.7227794,536.843801,0.748698955,-11.38275827
81,0,0.704543559,409.7115034,536.8368149,0.747415731,-11.48215577
82,0,0.707379073,409.7198557,536.8415909,0.746131668,-11.57871485
83,0,0.707917012,409.7327614,536.854843,0.744846771,-11.67244152
84,0,0.706989596,409.7450981,536.8563505,0.743561046,-11.76334179
85,0,0.706652386,409.7514405,536.8585203,0.742274498,-11.85142168
86,0,0.70652434,409.751763,536.8609809,0.740987133,-11.93668721
87,0,0.706169955,409.7547275,536.8595116,0.739698957,-12.01914438
88,0,0.705913978,409.7649113,536.8716579,0.738409975,-12.09879921
89,0,0.705283124,409.7710815,536.8826015,0.737120194,-12.17565771
90,0,0.703564617,409.7740433,536.8783772,0.735829619,-12.2497259
91,0,0.701239705,409.7789718,536.8805001,0.734538254,-12.32100978
92,0,0.7002272,409.78443,536.8829107,0.733246107,-12.38951538
93,0,0.700995973,409.7843713,536.8804952,0.731953183,-12.45524871
94,0,0.701814452,409.7932845,536.8889336,0.730659488,-12.51821577
95,0,0.702948212,409.7993189,536.8942819,0.729365026,-12.57842259
96,0,0.704336215,409.8089075,536.8983148,0.728069804,-12.63587517
97,0,0.704854505,409.8161062,536.9039094,0.726773828,-12.69057953
98,0,0.707075467,409.8215439,536.9029262,0.725477103,-12.74254169
99,0,0.708584916,409.82703,536.9087417,0.724179634,-12.79176765
100,0,0.708338441,409.8357479,536.9162734,0.722881429,-12.83826343
101,0,0.711169263,409.8379337,536.9169751,0.721582491,-12.88203505
102,0,0.71359496,409.8442923,536.9239813,0.720282827,-12.92308851
103,0,0.715240967,409.8621707,536.9347658,0.718982443,-12.96142983
104,0,0.716552944,409.8547995,536.9256049,0.717681343,-12.99706502
105,0,0.716403355,409.8544084,536.9226514,0.716379535,-13.03000011
106,0,0.715656331,409.8758741,536.9316899,0.715077023,-13.06024109
107,0,0.715203136,409.8785077,536.938777,0.713773813,-13.08779398
108,0,0.714910715,409.8736425,536.9432243,0.712469911,-13.11266481
109,0,0.71503257,409.8746416,536.9401378,0.711165323,-13.13485957
110,0,0.715658242,409.8817845,536.9391395,0.709860053,-13.15438429
111,0,0.715261866,409.8910091,536.9414344,0.708554109,-13.17124498
112,0,0.714453793,409.8951107,536.9419631,0.707247495,-13.18544764
113,0,0.714028676,409.900036,536.9432439,0.705940217,-13.1969983
114,0,0.712882192,409.905985,536.9490234,0.704632281,-13.20590297
115,0,0.711634076,409.9131997,536.9523095,0.703323693,-13.21216766
116,0,0.711669051,409.9155953,536.9550835,0.702014457,-13.21579839
117,0,0.709904953,409.9230445,536.9560687,0.700704581,-13.21680116
118,0,0.707827396,409.9353221,536.95803,0.699394069,-13.21518199
119,0,0.707854989,409.9420003,536.9650161,0.698082927,-13.2109469
120,0,0.708131462,409.949595,536.9678059,0.696771161,-13.2041019
121,0,0.70842646,409.950956,536.968456,0.695458777,-13.19465299
122,0,0.707410169,409.9545261,536.9755454,0.69414578,-13.18260621
123,0,0.704416519,409.96685,536.9791865,0.692832175,-13.16796755
124,0,0.702219185,409.9730205,536.9736422,0.69151797,-13.15074303
125,0,0.699873558,409.9713609,536.9805834,0.690203168,-13.13093867
126,0,0.697454051,409.9794158,536.9845387,0.688887776,-13.10856048
127,0,0.700109774,409.9815625,536.9846658,0.6875718,-13.08361447
128,0,0.70233741,409.9879985,536.9922006,0.686255245,-13.05610666
129,0,0.702181246,410.0031909,536.9992901,0.684938117,-13.02604305
130,0,0.701642858,410.0021511,537.0033472,0.683620421,-12.99342967
131,0,0.700320862,410.0002556,536.9985315,0.682302163,-12.95827252
132,0,0.699520607,410.0072581,537.001025,0.68098335,-12.92057762
133,0,0.699747093,410.0126864,537.0010619,0.679663986,-12.88035099
134,0,0.701285381,410.0128721,537.0014114,0.678344077,-12.83759863
135,0,0.703153593,410.01612,537.0142056,0.677023629,-12.79232656
136,0,0.702697047,410.0236944,537.0156111,0.675702648,-12.74454079
137,0,0.701985098,410.0362346,537.0185322,0.674381138,-12.69424734
138,0,0.700676403,410.0416904,537.0235039,0.673059107,-12.64145222
139,0,0.697070784,410.0509605,537.0229996,0.671736559,-12.58616145
140,0,0.694874707,410.0540758,537.0233222,0.670413501,-12.52838103
141,0,0.696217178,410.0640528,537.031357,0.669089937,-12.46811698
142,0,0.697637547,410.0753718,537.0400342,0.667765874,-12.40537531
143,0,0.694488565,410.0767736,537.0370073,0.666441317,-12.34016204
144,0,0.6929727,410.0771552,537.0382343,0.665116272,-12.27248318
145,0,0.694647978,410.0888496,537.0488429,0.663790744,-12.20234475
146,0,0.696240673,410.0985016,537.0504956,0.66246474,-12.12975275
147,0,0.700299931,410.1050771,537.0502681,0.661138265,-12.0547132
148,0,0.702056748,410.1000171,537.0582832,0.659811324,-11.97723211
149,0,0.701186379,410.1125289,537.0604422,0.658483923,-11.89731551
150,0,0.699623798,410.1163289,537.0589341,0.657156068,-11.81496939
151,0,0.700239641,410.1257967,537.0601576,0.655827765,-11.73019978
152,0,0.700903634,410.1361594,537.0742635,0.654499019,-11.64301269
153,0,0.702968328,410.1299417,537.0726177,0.653169836,-11.55341413
154,0,0.70421475,410.135612,537.074169,0.651840222,-11.46141011
155,0,0.70489197,410.1414729,537.0779529,0.650510182,-11.36700665
156,0,0.706834911,410.1561017,537.0885136,0.649179722,-11.27020976
157,0,0.707645038,410.1571506,537.0895776,0.647848847,-11.17102545
158,0,0.707869884,410.1637348,537.086584,0.646517564,-11.06945975
159,0,0.707969687,410.180148,537.09117,0.645185877,-10.96551865
160,0,0.708331132,410.1864739,537.0893257,0.643853793,-10.85920819
161,0,0.709974643,410.202702,537.1042448,0.642521317,-10.75053435
162,0,0.711812926,410.1987022,537.0993885,0.641188456,-10.63950318
163,0,0.712345928,410.1936061,537.098399,0.639855214,-10.52612066
164,0,0.71383157,410.1937867,537.1035608,0.638521597,-10.41039283
165,0,0.713630208,410.2082507,537.1108779,0.637187611,-10.29232569
166,0,0.71291898,410.2075564,537.1135406,0.635853261,-10.17192525
167,0,0.710669398,410.2134418,537.1234044,0.634518554,-10.04919753
168,0,0.710639559,410.2265523,537.1269521,0.633183495,-9.924148546
169,0,0.710460737,410.2264699,537.132092,0.631848089,-9.796784306
170,0,0.70984948,410.233282,537.1322967,0.630512343,-9.667110825
