iter,selected_count,added_indices,avg_rmse_m,avg_mae_m,avg_rmse_q,avg_mae_q,mean_rmse_m,mean_mae_m,mean_rmse_q,mean_mae_q,CI_m,CI_q,elapsed_s,exp_included_iter
11,110,"[191, 102, 331, 63, 88, 298, 342, 202, 84, 85]",0.367639931,0.2801491,111.828264,104.4017215,0.326629207,0.2801491,111.828264,104.4017215,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",1766.174103,2
12,120,"[369, 315, 193, 341, 134, 115, 318, 209, 218, 109]",0.354881073,0.285095627,113.2729378,104.3421421,0.318988886,0.285095627,113.2729378,104.3421421,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",1913.243348,2
13,130,"[67, 372, 124, 352, 168, 101, 340, 360, 195, 104]",0.350599202,0.282432219,113.4119481,103.1170586,0.332226213,0.282432219,113.4119481,103.1170586,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",2056.463733,2
14,140,"[117, 132, 19, 335, 197, 230, 192, 151, 354, 358]",0.349336834,0.281949302,115.6441819,104.2147207,0.331088973,0.281949302,115.6441819,104.2147207,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",2197.596493,2
15,150,"[114, 347, 125, 359, 162, 21, 110, 32, 368, 309]",0.342378908,0.282571765,113.1747641,101.6679019,0.320789232,0.282571765,113.1747641,101.6679019,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",2334.296197,2
16,160,"[36, 196, 52, 214, 314, 16, 112, 116, 57, 128]",0.345922252,0.279825087,112.8078455,101.5342642,0.313625468,0.279825087,112.8078455,101.5342642,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",2464.098947,2
17,170,"[165, 50, 161, 169, 60, 48, 265, 221, 266, 268]",0.345397359,0.277959168,108.4133137,98.91976545,0.32121499,0.277959168,108.4133137,98.91976545,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",2595.462378,2
18,180,"[236, 238, 68, 126, 361, 241, 313, 113, 18, 26]",0.333732118,0.281477251,109.0701279,97.25237461,0.321106202,0.281477251,109.0701279,97.25237461,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",2717.811557,2
19,190,"[100, 203, 14, 201, 288, 244, 328, 348, 200, 231]",0.327727796,0.281653216,106.9947633,94.54815525,0.323106278,0.281653216,106.9947633,94.54815525,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",2833.680354,2
20,200,"[28, 137, 178, 99, 179, 180, 121, 171, 3, 173]",0.323854476,0.283077663,106.0316355,93.38660352,0.319641472,0.283077663,106.0316355,93.38660352,"(nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan)",2941.114518,2
